class,precision,recall,f1-score,support
light_rain_and_snow,0.0,0.0,0.0,2.0
heavy_snow,0.0,0.0,0.0,24.0
very_heavy_rain,0.0,0.0,0.0,17.0
heavy_intensity_rain,0.0,0.0,0.0,74.0
dust,0.0,0.0,0.0,4.0
moderate_rain,0.25,0.0053475935828877,0.010471204188481674,187.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0,2.0
few_clouds,0.13333333333333333,0.006125574272588055,0.01171303074670571,653.0
heavy_intensity_drizzle,0.0,0.0,0.0,4.0
overcast_clouds,0.09451219512195122,0.07184241019698726,0.0816326530612245,863.0
broken_clouds,0.2126642771804062,0.14483319772172498,0.1723136495643756,1229.0
scattered_clouds,0.24864864864864866,0.10256410256410256,0.1452249408050513,897.0
thunderstorm_with_rain,0.0,0.0,0.0,4.0
light_rain,0.17253521126760563,0.0620253164556962,0.09124767225325883,790.0
sky_is_clear,0.32354405176704826,0.5731922398589065,0.4136175628380528,2268.0
snow,0.03614457831325301,0.15,0.05825242718446602,20.0
light_snow,0.027624309392265192,0.06578947368421052,0.038910505836575876,76.0
light_intensity_drizzle,0.1,0.025,0.04000000000000001,80.0
thunderstorm,0.0,0.0,0.0,15.0
mist,0.2781326781326781,0.524074074074074,0.36340288924558584,1080.0
haze,0.0,0.0,0.0,138.0
fog,0.1791044776119403,0.05581395348837209,0.0851063829787234,215.0
proximity_thunderstorm,0.0,0.0,0.0,23.0
thunderstorm_with_light_rain,0.0,0.0,0.0,7.0
drizzle,0.05,0.045454545454545456,0.04761904761904762,44.0
micro avg,0.2620610247553253,0.26112895823772375,0.26159416125510027,8716.0
macro avg,0.08424975043076519,0.07328249925416382,0.062380478652861976,8716.0
weighted avg,0.2204906776053784,0.26112895823772375,0.21253519073822558,8716.0
