class,precision,recall,f1-score,support
few_clouds,0.08064516129032258,0.01529051987767584,0.02570694087403599,654.0
scattered_clouds,0.16458852867830423,0.07357859531772576,0.1016949152542373,897.0
broken_clouds,0.24920127795527156,0.254071661237785,0.25161290322580643,1228.0
sky_is_clear,0.3339181286549708,0.5035273368606702,0.4015471167369902,2268.0
overcast_clouds,0.16179001721170397,0.1087962962962963,0.1301038062283737,864.0
mist,0.26443768996960487,0.4031510658016682,0.31938325991189426,1079.0
drizzle,0.0975609756097561,0.08888888888888889,0.09302325581395349,45.0
moderate_rain,0.028169014084507043,0.010752688172043012,0.01556420233463035,186.0
light_intensity_drizzle,0.0,0.0,0.0,81.0
light_rain,0.12797619047619047,0.10899873257287707,0.11772758384668036,789.0
fog,0.2079207920792079,0.09767441860465116,0.13291139240506328,215.0
haze,0.0,0.0,0.0,138.0
heavy_snow,0.0,0.0,0.0,24.0
heavy_intensity_drizzle,0.0,0.0,0.0,4.0
heavy_intensity_rain,0.05405405405405406,0.02702702702702703,0.03603603603603604,74.0
light_rain_and_snow,0.0,0.0,0.0,2.0
snow,0.0,0.0,0.0,20.0
light_snow,0.07272727272727272,0.1038961038961039,0.0855614973262032,77.0
proximity_thunderstorm,0.0,0.0,0.0,22.0
thunderstorm,0.0,0.0,0.0,15.0
thunderstorm_with_rain,0.06666666666666667,0.25,0.10526315789473685,4.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0,3.0
thunderstorm_with_light_rain,0.0,0.0,0.0,7.0
very_heavy_rain,0.0,0.0,0.0,16.0
dust,0.0,0.0,0.0,4.0
micro avg,0.25129503856337054,0.25045892611289583,0.2508762856978682,8716.0
macro avg,0.07638623077831332,0.08182613338213648,0.07264544271554566,8716.0
weighted avg,0.21271348152209052,0.25045892611289583,0.22062486989697738,8716.0
