class,precision,recall,f1-score,support
heavy_snow,0.0,0.0,0.0,24.0
light_rain_and_snow,0.0,0.0,0.0,2.0
very_heavy_rain,0.0,0.0,0.0,17.0
dust,0.0,0.0,0.0,4.0
heavy_intensity_rain,0.0,0.0,0.0,74.0
snow,0.0,0.0,0.0,19.0
moderate_rain,0.0,0.0,0.0,187.0
few_clouds,0.20512820512820512,0.036753445635528334,0.06233766233766234,653.0
thunderstorm_with_heavy_rain,0.0,0.0,0.0,2.0
scattered_clouds,0.2113022113022113,0.09587513935340022,0.13190184049079753,897.0
broken_clouds,0.23519870235198703,0.23596419853539463,0.23558082859463852,1229.0
overcast_clouds,0.19740634005763688,0.15874855156431056,0.17597944765574822,863.0
sky_is_clear,0.37456678219141565,0.6194885361552028,0.46685495929556403,2268.0
light_rain,0.14905149051490515,0.0697084917617237,0.09499136442141623,789.0
light_snow,0.058823529411764705,0.05194805194805195,0.05517241379310345,77.0
haze,0.0,0.0,0.0,138.0
thunderstorm,0.0,0.0,0.0,15.0
fog,0.17424242424242425,0.10648148148148148,0.13218390804597704,216.0
mist,0.3285302593659942,0.5277777777777778,0.4049733570159858,1080.0
thunderstorm_with_light_rain,0.125,0.14285714285714285,0.13333333333333333,7.0
thunderstorm_with_rain,0.0,0.0,0.0,4.0
proximity_thunderstorm,0.03225806451612903,0.043478260869565216,0.037037037037037035,23.0
light_intensity_drizzle,0.0,0.0,0.0,80.0
drizzle,0.12121212121212122,0.09090909090909091,0.1038961038961039,44.0
heavy_intensity_drizzle,0.0,0.0,0.0,4.0
micro avg,0.2984046826580971,0.2983019733822855,0.29835331918067587,8716.0
macro avg,0.08850880521179177,0.08719960675394683,0.08136969023669469,8716.0
weighted avg,0.24712660515225707,0.2983019733822855,0.25363981409375574,8716.0
